event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR99163,8-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Kyiv,Brovarskyi,Velykodymerska,Svitilnya,50.5638,31.1514,2,Novoye Vremya Ukraine,National,"On 8 April 2023, a farmer was wounded when his tractor ran over an unidentified mine near Svitilnya, Kyiv.",0,,1681851849
UKR98699,6-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Vysokopilska,Arkhanhelske,47.432,33.4056,2,Suspilne Media,National,"On 6 April 2023, a civilian was wounded when an unidentified mine went off near Arkhanhelske, Kherson.",0,,1681311961
UKR98640,5-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Kupianskyi,Kurylivska,Novoosynove,49.6193,37.7098,1,Novoye Vremya Ukraine,National,"On 5 April 2023, a civilian adolescent was injured, having accidentally activated an explosive in Novoosynove, Kharkiv region.",0,,1681311961
UKR98372,3-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Petrovskyi,47.9495,37.6138,1,DPR Armed Forces Press Service,Other,"On 3 April 2023, 1 civilian was injured in an explosion of an unidentified 'Lepestok' mine in Donetsk - Petrovskyi.",0,,1681311960
UKR98421,3-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Beryslavska,Shlyakhove,46.8685,33.43,2,Suspilne Media,National,"On 3 April 2023, 1 civilian was killed in an explosion of a Russian mine near Shlyakhove, Kherson.",1,,1681311960
UKR98440,3-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2,ZMINA,Other,"On 3 April 2023, a car detonated a Russian unexploded device near Yanzhulivka, Chernihiv. Two civilians were killed.",2,,1681311960
UKR98397,3-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Melitopol Communal Militia (Ukraine),,4,Civilians (Ukraine),Russian Occupation Government (2022-),7,47,Civilian targeting,804,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,2,24 Channel,National,"On 3 April 2023, Melitopol partisans blew up the car of Russian-appointed official in Melitopol, Zaporizhia, killing him.",1,local administrators,1700605347
UKR98212,1-Apr-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Savynska,Dovhalivka,49.3821,37.0748,1,Suspilne Media,National,"On 1 April 2023, 1 civilian was killed in an explosion of an unidentified mine in Dovhalivka, Kharkiv.",1,,1681311959
UKR97522,31-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),Labor Group (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Khersonskyi,Chornobaivska,Posad Pokrovske,46.803,32.268,2,Suspilne Media,National,"On 31 March 2023, two civilian employees of an energy company were killed when their car ran over a Russian mine near Posad Pokrovske, Kherson. The third employee died because of injuries in the hospital next day.",3,,1681311959
UKR97527,30-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Velykooleksandrivska,Velyka Oleksandrivka,47.3197,33.3037,2,Novoye Vremya Ukraine,National,"On 30 March 2023, a Russian mine blew up a civilian car near Velyka Oleksandrivka, Kherson. 1 civilian was killed, 1 wounded.",1,,1680620639
